iter	Passed	Remaining
0	2	250
1	4	229
2	7	227
3	8	210
4	11	209
5	13	210
6	16	216
7	19	219
8	21	216
9	23	213
10	25	210
11	28	205
12	30	201
13	32	199
14	34	196
15	37	195
16	39	194
17	42	191
18	44	189
19	46	187
20	49	185
21	51	183
22	53	179
23	55	176
24	57	173
25	60	171
26	62	168
27	64	165
28	66	163
29	68	160
30	70	157
31	72	154
32	74	151
33	76	148
34	78	146
35	81	144
36	83	142
37	85	140
38	87	137
39	90	135
40	92	132
41	93	128
42	95	126
43	97	123
44	98	120
45	100	118
46	102	115
47	104	112
48	105	110
49	107	107
50	109	105
51	111	103
52	113	100
53	115	98
54	116	95
55	118	93
56	120	90
57	122	88
58	123	85
59	124	83
60	125	80
61	127	77
62	128	75
63	129	72
64	130	70
65	131	67
66	132	65
67	133	62
68	134	60
69	135	57
70	136	55
71	137	53
72	138	51
73	139	48
74	140	46
75	141	44
76	142	42
77	143	40
78	144	38
79	145	36
80	146	34
81	147	32
82	148	30
83	149	28
84	150	26
85	151	24
86	152	22
87	153	20
88	154	19
89	155	17
90	157	15
91	158	13
92	159	11
93	160	10
94	161	8
95	161	6
96	162	5
97	164	3
98	166	1
99	167	0
